Episode,Total Reward,Steps,Success
1,-284,300,0
2,-300,300,0
3,-284,300,0
4,-284,300,0
5,-284,300,0
6,-284,300,0
7,-284,300,0
8,-284,300,0
9,-284,300,0
10,-300,300,0
11,-284,300,0
12,-300,300,0
13,-284,300,0
14,-284,300,0
15,-284,300,0
16,-284,300,0
17,-284,300,0
18,-284,300,0
19,-284,300,0
20,-300,300,0
21,-284,300,0
22,18,59,1
23,-284,300,0
24,-284,300,0
25,-284,300,0
26,-284,300,0
27,-284,300,0
28,-284,300,0
29,-284,300,0
30,-284,300,0
31,-284,300,0
32,-284,300,0
33,-284,300,0
34,-284,300,0
35,-126,203,1
36,-284,300,0
37,-284,300,0
38,-284,300,0
39,-171,248,1
40,-300,300,0
41,-284,300,0
42,-284,300,0
43,-284,300,0
44,-158,235,1
45,-284,300,0
46,-284,300,0
47,-284,300,0
48,-284,300,0
49,-284,300,0
50,-284,300,0
51,-284,300,0
52,-284,300,0
53,-284,300,0
54,-284,300,0
55,-284,300,0
56,-300,300,0
57,-284,300,0
58,-284,300,0
59,-284,300,0
60,-284,300,0
61,-284,300,0
62,-284,300,0
63,-284,300,0
64,-284,300,0
65,-284,300,0
66,-284,300,0
67,-284,300,0
68,-284,300,0
69,-284,300,0
70,-300,300,0
71,-47,124,1
72,-284,300,0
73,-284,300,0
74,-284,300,0
75,-300,300,0
76,-284,300,0
77,-300,300,0
78,-284,300,0
79,-284,300,0
80,-440,300,0
81,-30,107,1
82,-300,300,0
83,-284,300,0
84,-300,300,0
85,-284,300,0
86,-284,300,0
87,-284,300,0
88,-284,300,0
89,-284,300,0
90,-284,300,0
91,-284,300,0
92,-106,183,1
93,-148,225,1
94,-58,135,1
95,-284,300,0
96,-356,300,0
97,-412,300,0
98,-52,129,1
99,-384,300,0
100,-284,300,0
101,-284,300,0
102,-284,300,0
103,-284,300,0
104,-97,174,1
105,-69,146,1
106,-82,159,1
107,-284,300,0
108,-29,106,1
109,-284,300,0
110,-284,300,0
111,-284,300,0
112,-284,300,0
113,-284,300,0
114,-103,180,1
115,-300,300,0
116,-284,300,0
117,-284,300,0
118,-207,284,1
119,-398,300,0
120,-284,300,0
121,-284,300,0
122,-284,300,0
123,-116,193,1
124,-284,300,0
125,-158,235,1
126,-284,300,0
127,-284,300,0
128,-85,162,1
129,-284,300,0
130,-284,300,0
131,-300,300,0
132,-284,300,0
133,-284,300,0
134,-54,131,1
135,-284,300,0
136,-284,300,0
137,-164,241,1
138,-284,300,0
139,-284,300,0
140,-300,300,0
141,-300,300,0
142,-284,300,0
143,-101,178,1
144,-284,300,0
145,-19,96,1
146,-178,255,1
147,-284,300,0
148,-284,300,0
149,-284,300,0
150,-152,229,1
151,-83,160,1
152,-284,300,0
153,-300,300,0
154,-68,145,1
155,-284,300,0
156,-39,116,1
157,-284,300,0
158,-284,300,0
159,-284,300,0
160,-284,300,0
161,-284,300,0
162,-284,300,0
163,-284,300,0
164,-284,300,0
165,-136,213,1
166,-284,300,0
167,-50,127,1
168,-300,300,0
169,-284,300,0
170,-73,150,1
171,-300,300,0
172,-284,300,0
173,-284,300,0
174,-49,126,1
175,-284,300,0
176,-284,300,0
177,-300,300,0
178,-284,300,0
179,-284,300,0
180,-284,300,0
181,-284,300,0
182,-284,300,0
183,-284,300,0
184,-284,300,0
185,-284,300,0
186,-284,300,0
187,-284,300,0
188,-300,300,0
189,-284,300,0
190,8,69,1
191,-620,300,0
192,-284,300,0
193,-284,300,0
194,-284,300,0
195,-328,300,0
196,-284,300,0
197,1,76,1
198,-284,300,0
199,-284,300,0
200,-284,300,0
201,-284,300,0
202,-284,300,0
203,-9,86,1
204,-284,300,0
205,-284,300,0
206,-284,300,0
207,-125,202,1
208,-284,300,0
209,-284,300,0
210,-284,300,0
211,-284,300,0
212,-284,300,0
213,-284,300,0
214,-284,300,0
215,-284,300,0
216,-300,300,0
217,-284,300,0
218,-284,300,0
219,-191,268,1
220,-508,300,0
221,-284,300,0
222,-284,300,0
223,-284,300,0
224,-284,300,0
225,-284,300,0
226,-284,300,0
227,-284,300,0
228,-284,300,0
229,-284,300,0
230,-284,300,0
231,-300,300,0
232,-284,300,0
233,-300,300,0
234,-209,286,1
235,-211,288,1
236,-284,300,0
237,-284,300,0
238,-284,300,0
239,-77,154,1
240,-284,300,0
241,-284,300,0
242,-284,300,0
243,-153,230,1
244,-284,300,0
245,-167,244,1
246,-284,300,0
247,-284,300,0
248,-284,300,0
249,-284,300,0
250,-300,300,0
251,-284,300,0
252,-300,300,0
253,-284,300,0
254,-284,300,0
255,-284,300,0
256,-284,300,0
257,-101,178,1
258,-284,300,0
259,-284,300,0
260,-284,300,0
261,-284,300,0
262,-300,300,0
263,-284,300,0
264,-35,112,1
265,-284,300,0
266,-284,300,0
267,-194,271,1
268,-284,300,0
269,-284,300,0
270,-284,300,0
271,-284,300,0
272,-874,300,0
273,-95,172,1
274,-284,300,0
275,-107,184,1
276,-284,300,0
277,-284,300,0
278,-3,80,1
279,-284,300,0
280,-84,161,1
281,-191,268,1
282,-284,300,0
283,-342,300,0
284,-382,300,0
285,-284,300,0
286,-284,300,0
287,-284,300,0
288,-284,300,0
289,-146,223,1
290,-284,300,0
291,-284,300,0
292,-284,300,0
293,-284,300,0
294,-466,300,0
295,-284,300,0
296,-284,300,0
297,-284,300,0
298,-300,300,0
299,-284,300,0
300,-284,300,0
301,-284,300,0
302,-284,300,0
303,-284,300,0
304,-284,300,0
305,-284,300,0
306,-300,300,0
307,-284,300,0
308,-300,300,0
309,-284,300,0
310,-284,300,0
311,-284,300,0
312,-284,300,0
313,-284,300,0
314,-550,300,0
315,-300,300,0
316,-284,300,0
317,-284,300,0
318,-284,300,0
319,-284,300,0
320,-284,300,0
321,-284,300,0
322,-300,300,0
323,-163,240,1
324,-284,300,0
325,-284,300,0
326,-482,300,0
327,-284,300,0
328,-88,165,1
329,-284,300,0
330,-284,300,0
331,-284,300,0
332,-30,107,1
333,-284,300,0
334,-284,300,0
335,-284,300,0
336,-284,300,0
337,-284,300,0
338,24,53,1
339,-412,300,0
340,-284,300,0
341,-284,300,0
342,-398,300,0
343,-300,300,0
344,-284,300,0
345,-284,300,0
346,-300,300,0
347,-300,300,0
348,-284,300,0
349,-209,286,1
350,-284,300,0
351,-284,300,0
352,-185,262,1
353,-284,300,0
354,-300,300,0
355,-284,300,0
356,-84,161,1
357,-179,256,1
358,-284,300,0
359,-284,300,0
360,-300,300,0
361,-300,300,0
362,-300,300,0
363,-284,300,0
364,-284,300,0
365,-300,300,0
366,-284,300,0
367,-300,300,0
368,-818,300,0
369,-284,300,0
370,-284,300,0
371,-284,300,0
372,-510,300,0
373,-284,300,0
374,-120,197,1
375,-284,300,0
376,-284,300,0
377,-284,300,0
378,-284,300,0
379,-284,300,0
380,-193,270,1
381,-284,300,0
382,-284,300,0
383,-284,300,0
384,-284,300,0
385,-284,300,0
386,-284,300,0
387,-284,300,0
388,-284,300,0
389,-40,117,1
390,-159,236,1
391,-300,300,0
392,-284,300,0
393,-284,300,0
394,-300,300,0
395,-284,300,0
396,-284,300,0
397,-284,300,0
398,-284,300,0
399,-284,300,0
400,-284,300,0
401,-284,300,0
402,-284,300,0
403,-300,300,0
404,-284,300,0
405,-732,300,0
406,-154,231,1
407,-284,300,0
408,-284,300,0
409,-284,300,0
410,-103,180,1
411,-284,300,0
412,-174,251,1
413,-300,300,0
414,-300,300,0
415,-134,211,1
416,-300,300,0
417,-284,300,0
418,-284,300,0
419,-149,226,1
420,-284,300,0
421,-284,300,0
422,-284,300,0
423,-284,300,0
424,-284,300,0
425,-566,300,0
426,-284,300,0
427,-284,300,0
428,-284,300,0
429,-284,300,0
430,-300,300,0
431,-284,300,0
432,0,77,1
433,-124,201,1
434,-284,300,0
435,-284,300,0
436,-284,300,0
437,-284,300,0
438,-284,300,0
439,-284,300,0
440,-284,300,0
441,-284,300,0
442,-412,300,0
443,-284,300,0
444,-284,300,0
445,-284,300,0
446,-284,300,0
447,-284,300,0
448,-284,300,0
449,-284,300,0
450,-284,300,0
451,-284,300,0
452,-284,300,0
453,-284,300,0
454,-284,300,0
455,-398,300,0
456,-284,300,0
457,-185,262,1
458,-300,300,0
459,-300,300,0
460,-284,300,0
461,-284,300,0
462,-860,300,0
463,-284,300,0
464,-284,300,0
465,-284,300,0
466,-284,300,0
467,-102,179,1
468,-284,300,0
469,-66,143,1
470,-284,300,0
471,-284,300,0
472,-284,300,0
473,-284,300,0
474,-284,300,0
475,-111,188,1
476,-284,300,0
477,-300,300,0
478,-284,300,0
479,-284,300,0
480,-210,287,1
481,-284,300,0
482,-284,300,0
483,-284,300,0
484,-284,300,0
485,-300,300,0
486,-284,300,0
487,-284,300,0
488,-284,300,0
489,-284,300,0
490,-68,145,1
491,-135,212,1
492,-284,300,0
493,-284,300,0
494,-88,165,1
495,-284,300,0
496,-300,300,0
497,-77,154,1
498,-284,300,0
499,-284,300,0
500,-216,293,1
